question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I value long-term relationships and loyalty,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,213,0,私は長期的な関係と忠誠を大切にする,나는 장기적인 관계와 충성을 중요하게 여긴다,我重视长期关系和忠诚,我重視長期關係和忠誠,Valoro las relaciones a largo plazo y la lealtad,Je valorise les relations à long terme et la loyauté,Valorizo relacionamentos de longo prazo e lealdade,أُقدّر العلاقات طويلة الأمد والولاء,मैं दीर्घकालिक संबंधों और निष्ठा को महत्व देता हूँ,Ich schätze langfristige Beziehungen und Loyalität,Valorizzo le relazioni a lungo termine e la lealtà,Saya menghargai hubungan jangka panjang dan kesetiaan
I am reliable and follow through on my commitments,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,214,0,私は信頼され、約束を最後まで守る,나는 신뢰할 수 있으며 약속을 끝까지 지킨다,我值得信赖并履行承诺,我值得信賴並履行承諾,Soy confiable y cumplo con mis compromisos,Je suis fiable et je tiens mes engagements,Sou confiável e cumpro meus compromissos,أنا جدير بالثقة وأفي بالتزاماتي,मैं विश्वसनीय हूँ और अपनी प्रतिबद्धताओं का पालन करता हूँ,Ich bin zuverlässig und halte meine Zusagen ein,Sono affidabile e porto a termine gli impegni presi,Saya dapat diandalkan dan menepati komitmen saya
I am thorough and organized in my approach,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,215,0,私は徹底的で整理されたアプローチをとる,나는 철저하고 체계적인 접근 방식을 취한다,我在做事时有条理且全面,我在做事時有條理且全面,Soy meticuloso y organizado en mi enfoque,Je suis minutieux et organisé dans mon approche,Sou minucioso e organizado na minha abordagem,أنا دقيق ومنظم في نهجي,मैं अपने दृष्टिकोण में व्यापक और संगठित हूँ,Ich arbeite gründlich und organisiert,Sono accurato e organizzato nel mio approccio,Saya teliti dan terorganisir dalam pendekatan saya
I prefer exploring ideas over focusing on details,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,216,0,私は細部よりもアイデアの探求を好む,나는 세부사항보다 아이디어 탐색을 선호한다,我更喜欢探索想法而不是关注细节,我更喜歡探索想法而不是關注細節,Prefiero explorar ideas en lugar de centrarme en los detalles,Je préfère explorer des idées plutôt que me concentrer sur les détails,Prefiro explorar ideias do que focar nos detalhes,أفضل استكشاف الأفكار على التركيز على التفاصيل,मैं विवरणों पर ध्यान देने की बजाय विचारों की खोज को प्राथमिकता देता हूँ,"Ich erkunde lieber Ideen, als mich auf Details zu konzentrieren",Preferisco esplorare idee piuttosto che concentrarmi sui dettagli,Saya lebih suka mengeksplorasi ide daripada fokus pada detail
I feel uncomfortable with unexpected changes in plans,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,217,0,予定外の変更には不快感を覚える,예상치 못한 계획 변경에 불편함을 느낀다,我对计划的意外变更感到不安,我對計劃的意外變更感到不安,Me siento incómodo con los cambios inesperados en los planes,Je me sens mal à l’aise avec des changements de plans imprévus,Sinto-me desconfortável com mudanças inesperadas nos planos,أشعر بعدم الارتياح عند حدوث تغييرات غير متوقعة في الخطط,मुझे योजनाओं में अप्रत्याशित बदलाव से असहजता होती है,Unerwartete Planänderungen verunsichern mich,Mi sento a disagio con cambiamenti imprevisti nei piani,Saya merasa tidak nyaman dengan perubahan rencana yang tidak terduga
I prefer learning through hands-on experiences,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,218,0,私は実践的な経験を通じた学習を好む,나는 실습을 통해 배우는 것을 선호한다,我更喜欢通过实践学习,我更喜歡通過實踐學習,Prefiero aprender a través de experiencias prácticas,Je préfère apprendre par l’expérience concrète,Prefiro aprender por meio de experiências práticas,أفضل التعلم من خلال التجارب العملية,मैं व्यावहारिक अनुभवों से सीखना पसंद करता हूँ,Ich lerne lieber durch praktische Erfahrungen,Preferisco imparare attraverso esperienze pratiche,Saya lebih suka belajar melalui pengalaman langsung
I find it hard to focus on logical reasoning over feelings,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,219,0,感情より論理に集中するのが難しい,감정보다 논리적 추론에 집중하는 것이 어렵다,我觉得难以将注意力集中在逻辑推理上而非情感上,我覺得難以將注意力集中在邏輯推理上而非情感上,Me cuesta concentrarme en el razonamiento lógico por encima de los sentimientos,J’ai du mal à me concentrer sur le raisonnement logique plutôt que sur les sentiments,Acho difícil focar no raciocínio lógico em vez dos sentimentos,أجد صعوبة في التركيز على التفكير المنطقي أكثر من المشاعر,मेरे लिए भावनाओं की बजाय तार्किक सोच पर ध्यान केंद्रित करना कठिन होता है,"Es fällt mir schwer, mich auf logisches Denken statt auf Gefühle zu konzentrieren",Trovo difficile concentrarmi sul ragionamento logico piuttosto che sui sentimenti,Saya merasa sulit untuk fokus pada logika dibandingkan perasaan
I feel energized when I am with a group of people,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,220,0,私は人と一緒にいると元気になる,나는 사람들과 함께 있을 때 에너지가 솟는다,我和一群人在一起时感到充满活力,我和一群人在一起時感到充滿活力,Me siento con energía cuando estoy con un grupo de personas,Je me sens énergisé lorsque je suis avec un groupe de personnes,Sinto-me energizado quando estou com um grupo de pessoas,أشعر بالنشاط عندما أكون مع مجموعة من الناس,जब मैं लोगों के समूह में होता हूँ तो ऊर्जावान महसूस करता हूँ,Ich fühle mich in Gruppen energiegeladen,Mi sento energico quando sono in gruppo,Saya merasa berenergi saat berada dalam kelompok orang
I like to imagine various outcomes for situations,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,221,0,私は状況に対するさまざまな結果を想像するのが好きだ,나는 상황에 대한 다양한 결과를 상상하는 것을 좋아한다,我喜欢想象情境的各种结果,我喜歡想像情境的各種結果,Me gusta imaginar varios resultados para las situaciones,J’aime imaginer divers résultats pour des situations,Gosto de imaginar vários desfechos para as situações,أحب تخيل نتائج مختلفة للمواقف,मुझे विभिन्न परिस्थितियों के संभावित परिणामों की कल्पना करना पसंद है,Ich stelle mir gerne verschiedene Ergebnisse für Situationen vor,Mi piace immaginare vari possibili risultati per le situazioni,Saya suka membayangkan berbagai kemungkinan hasil dari situasi
I tend to be guided by emotions when making decisions,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,222,0,私は意思決定の際に感情に左右されがちだ,나는 결정을 내릴 때 감정에 좌우되는 경향이 있다,我做决定时常被情绪引导,我做決定時常被情緒引導,Tiendo a guiarme por las emociones al tomar decisiones,J’ai tendance à être guidé par mes émotions dans mes décisions,Tendo a ser guiado pelas emoções ao tomar decisões,أميل إلى أن أكون موجهًا بمشاعري عند اتخاذ القرارات,मैं निर्णय लेते समय भावनाओं से प्रभावित हो जाता हूँ,Meine Entscheidungen werden oft von Emotionen geleitet,Tendo a farmi guidare dalle emozioni quando prendo decisioni,Saya cenderung dipandu oleh emosi dalam pengambilan keputusan
I find it hard to stick to a routine,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,223,0,私はルーチンを継続するのが難しいと感じる,나는 일상을 꾸준히 지키는 것이 어렵다고 느낀다,我发现坚持日常生活很困难,我發現堅持日常生活很困難,Me resulta difícil seguir una rutina,Je trouve difficile de suivre une routine,Acho difícil manter uma rotina,أجد صعوبة في الالتزام بروتين منتظم,मुझे एक नियमित दिनचर्या का पालन करना कठिन लगता है,"Es fällt mir schwer, an Routinen festzuhalten",Trovo difficile seguire una routine,Saya merasa sulit untuk konsisten dengan rutinitas
I like to keep my options open rather than make firm plans,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,224,0,私は確定的な計画を立てるよりも選択肢を残しておくのが好きだ,나는 확정된 계획을 세우기보다는 선택지를 열어두는 것을 좋아한다,我喜欢保留选择而不是制定固定计划,我喜歡保留選擇而不是制定固定計劃,Prefiero mantener abiertas mis opciones en lugar de hacer planes firmes,J’aime garder mes options ouvertes plutôt que de faire des plans fermes,Prefiro manter minhas opções em aberto em vez de fazer planos rígidos,أفضل إبقاء الخيارات مفتوحة بدلاً من وضع خطط صارمة,मैं पक्की योजना बनाने की बजाय विकल्प खुले रखना पसंद करता हूँ,"Ich halte mir lieber alle Möglichkeiten offen, als feste Pläne zu machen",Mi piace mantenere aperte le opzioni piuttosto che fare piani rigidi,Saya suka tetap memiliki pilihan terbuka daripada membuat rencana pasti
